12,55
783,975,156,502,183,795,178,86,261,915,503,788
996,248,132,140,476,283,980,685,773,548,622,484
272,202,471,724,308,860,548,199,19,243,623,37
209,442,275,144,395,926,74,74,124,765,698,687
905,685,945,84,936,600,901,327,795,903,886,924
584,532,20,532,591,599,342,801,357,618,325,95
630,394,273,715,662,419,510,203,231,807,941,670
839,950,104,405,378,503,488,966,627,681,647,343
636,827,829,405,157,248,257,789,542,240,555,979
91,508,795,858,581,881,626,697,388,510,57,417
969,355,651,366,830,173,794,767,246,122,220,948
6,563,656,102,661,766,804,460,295,239,382,750
984,599,170,897,177,511,84,400,767,820,545,661
529,516,478,596,215,19,617,394,258,383,423,967
293,551,57,696,475,731,269,787,989,964,487,631
526,899,474,521,290,369,307,794,478,182,130,701
517,237,400,838,419,397,300,277,329,506,447,85
757,94,116,82,133,118,705,191,4,613,123,520
843,490,670,870,602,925,847,109,173,594,633,997
524,184,240,568,611,315,439,71,908,976,850,665
952,801,600,503,812,499,689,367,11,282,234,833
808,818,654,318,388,616,92,826,347,411,716,575
747,115,993,664,193,303,294,912,225,927,137,406
70,731,748,415,449,312,349,179,777,620,586,772
767,167,130,749,470,852,1000,950,360,66,11,338
220,741,860,149,335,699,574,533,892,17,963,452
52,512,488,942,992,257,542,443,739,293,230,591
235,121,558,52,243,910,306,973,425,866,271,163
890,845,699,27,876,14,523,338,947,33,303,703
810,998,423,247,910,991,469,246,301,686,576,913
584,713,937,277,700,255,930,308,879,453,640,950
613,704,285,536,657,379,26,521,124,902,272,276
444,907,554,441,896,962,344,164,56,857,632,257
384,429,274,719,667,426,685,633,948,274,884,727
12,38,882,380,196,402,223,136,875,961,457,670
743,494,361,220,745,462,483,798,24,477,856,371
627,425,954,230,922,61,514,315,295,52,429,392
279,838,563,418,22,96,22,948,824,58,361,675
663,979,33,950,14,414,514,186,392,489,604,680
352,821,800,267,677,78,737,937,579,962,637,542
339,945,672,958,295,877,367,163,933,125,185,516
150,201,96,691,313,810,321,356,729,48,402,58
991,164,335,931,773,524,266,478,936,696,141,162
631,123,328,471,890,8,383,687,298,789,732,314
339,984,332,967,136,964,169,403,156,34,814,867
600,37,381,279,618,853,49,589,294,55,673,924
480,881,711,814,636,125,40,641,875,54,510,849
540,23,546,951,735,716,98,704,446,62,640,673
114,563,506,810,334,603,334,547,559,595,108,477
44,146,672,151,861,492,184,391,914,731,600,899
812,575,175,338,919,522,222,945,616,110,663,578
871,776,660,578,444,326,621,430,425,813,690,170
909,419,749,880,277,352,506,396,223,629,997,0
538,353,113,545,934,618,179,107,200,224,375,711
956,154,555,52,240,742,52,685,674,391,156,324
